ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
4655;Thierry Germain Saumur-Champigny Les Mémoires 2016;40.2;23
4656;Thierry Germain Saumur-Champigny Outre Terre 2013;43.0;3
4657;Thierry Germain Saumur-Champigny Outre Terre 2014;43.0;11
4658;Thierry Germain Saumur-Champigny Outre Terre 2016;48.8;12
4662;Pierre Martin Sancerre Les Monts Damnés 2018;20.8;24
4666;Vincent Carême Vouvray Moelleux 2015;21.0;32
4669;Domaine Pellé Menetou Salon Blanc Le Carroir 2018;20.2;37
4671;Domaine Pellé Menetou Salon Rouge Les Cris 2015;21.9;24
4678;Domaine Rotier Gaillac Rouge L'Ame 2016;29.8;30
4687;Cosse-Maisonneuve Cahors Le Sid 2014;30.1;36
4705;Albert Mann Gewurztraminer Grand Cru Steingrubler 2016;31.6;12
4707;Albert Mann Pinot Gris Cuvée Albert 2017;22.8;13
4708;Albert Mann Pinot Gris Grand Cru Furstentum 2016;32.6;15
4709;Albert Mann Pinot Gris Vendanges Tardives Altenbourg 2011;44.0;0
4711;Albert Mann Riesling Grand Cru Schlossberg 2018;55.4;9
4717;Domaine Schoenheitz Pinot Noir Herrenreben 2017;23.4;0
4723;François Baur Pinot Noir Sang Du Dragon 2017;29.0;5
4725;François Baur Riesling Grand Cru Brand Clos De La Treille 2017;23.4;1
4727;Paul Ginglinger Riesling Grand Cru Pfersigberg 2018;26.0;33
4728;Maurice Schoech Gewurztraminer Vendanges Tardives 2017;29.5;20
4731;Domaine Muré Crémant d'Alsace Rosé;22.0;7
4752;Domaine de Montgilet Coteaux de l'Aubance Les Trois Schistes 2016;27.9;42
4757;Domaine Saint-Nicolas Fiefs Vendéens Blanc Le Haut des Clous 2017;26.5;1
4758;Domaine Saint-Nicolas Fiefs Vendéens Rouge Cuvée Jacques 2016;24.3;22
4783;Maurice Schoech Pinot Gris Vendanges Tardives 2015;29.5;5
4784;Maurice Schoech Riesling Vendanges Tardives 2017;28.5;10
4792;Maurice Schoech Riesling Grand Cru Kaefferkopf 2018;21.0;13
4794;Maurice Schoech Riesling Grand Cru Rangen de Thann 2014;41.6;0
4797;Domaine Peyre Rose Clos des Cistes 2008;78.0;0
4876;Tempier Bandol Rosé 2019;22.8;4
4886;Saumaize-Michelin Pouilly-Fuissé Clos sur la Roche 2018;28.4;48
4888;Saumaize-Michelin Pouilly-Fuissé Les Ronchevats 2018;27.9;53
4889;Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018;25.3;0
4891;Jacqueson Rully Blanc 1er Cru La Pucelle 2018;27.9;0
4892;Jacqueson Rully Rouge Les Chaponnières 2018;20.1;34
4893;Jacqueson Rully Rouge 1er Cru Les Cloux 2018;27.9;0
4899;Domaine Brintet Mercurey Blanc Vieilles Vignes 2018;21.2;35
4900;Domaine Brintet Mercurey Rouge Vieilles Vignes 2018;20.8;42
4901;Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017;41.0;36
4902;Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015;46.0;11
4903;Domaine Des Croix Corton Grand Cru Les Grèves 2017;102.3;20
4904;Domaine Des Croix Corton Charlemagne Grand Cru 2016;137.0;13
4907;Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015;22.9;6
4908;Alphonse Mellot Sancerre Blanc Edmond 2016;53.2;5
4909;Antoine-Marie Arena Vin de France Bianco Gentile 2018;25.9;27
4912;Jean-Baptiste Arena Patrimonio Rouge Grotte Di Sole 2018;25.9;10
4913;Jean-Batiste Arena Muscat du Cap Corse 2015;28.0;16
4914;Antoine-Marie Arena Patrimonio Hauts de Carco 2018;25.9;6
4915;Jean-Baptiste Arena Patrimonio Blanc Morta Maio;25.9;14
4918;Alain Graillot Crozes-Hermitage Rouge La Guiraude 2016;37.2;0
4919;Alain Graillot Crozes-Hermitage Rouge 2017;24.4;0
4920;Alain Graillot Crozes-Hermitage Blanc 2018;24.4;1
4925;Cave de Castelmaure Corbières Rouge N°3 2017;23.2;0
4931;Marcel Richaud Cairanne Rouge L'Ebrescade 2017;27.8;11
4932;Marcel Richaud Cairanne Rouge Les Estrambords 2011;25.7;0
4934;Marcel Richaud Rasteau Rouge 2017;22.2;57
4940;Oratoire Saint Martin Cairanne Blanc Haut-Coustias 2017;20.5;44
4970;Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011;49.5;0
4974;Château du Couvent Pomerol 2017;23.0;2
4975;Château Cordet Margaux 2013;23.7;15
4980;Château La Tour l'Aspic Pauillac 2014;26.5;88
4994;Domaine Peyre Rose Syrah Léone 2008;78.0;7
